case,is_legal,selected_solver,E_wait,E_memory_new,E_finish,runtime_sec,outcome_vs_v6,trigger_tail,trigger_memory,trigger_shape,trigger_blocker,run_tail,run_memory,run_shape,run_blocker,accept_tail,accept_memory,accept_shape,accept_blocker
case001.in,1,memory_window_repack,0.0,108871.0,2556.0,0.018443,improved,0,1,1,0,0,1,1,0,0,1,0,0
case002.in,1,v6_safe_baseline,131059.0,447926.0,3841.0,0.023649,equal,1,1,1,0,1,1,1,0,0,0,0,0
case003.in,1,v6_safe_baseline,1365.0,102820.0,2704.0,0.016412,equal,0,1,1,0,0,1,1,0,0,0,0,0
case004.in,1,v6_safe_baseline,72961.0,393794.0,4011.0,0.021604,equal,0,1,1,0,0,1,1,0,0,0,0,0
case005.in,1,memory_window_repack,0.0,153737.0,2622.0,0.021893,improved,0,1,1,0,0,1,1,0,0,1,0,0
case006.in,1,memory_window_repack,124575.0,420391.0,4628.0,0.030957,improved,0,1,1,0,0,1,1,0,0,1,0,0
case007.in,1,memory_window_repack,0.0,71585.0,2669.0,0.030235,improved,1,1,1,0,1,1,1,0,0,1,0,0
case008.in,1,memory_window_repack,3238.0,316654.0,2776.0,0.025905,improved,1,1,1,0,1,1,1,0,0,1,0,0
case009.in,1,v6_safe_baseline,0.0,230558.0,2618.0,0.039841,equal,0,1,1,0,0,1,1,0,0,0,0,0
case010.in,1,v6_safe_baseline,179093.0,565104.0,3751.0,0.041864,equal,1,1,1,0,1,1,1,0,0,0,0,0
case011.in,1,memory_window_repack,0.0,272667.0,2746.0,0.052452,improved,1,1,1,0,1,1,1,0,0,1,0,0
case012.in,1,memory_window_repack,39294.0,546962.0,3115.0,0.049928,improved,1,1,1,0,1,1,1,0,0,1,0,0
case013.in,1,v6_safe_baseline,0.0,398584.0,2708.0,0.056022,equal,1,1,1,0,1,1,1,0,0,0,0,0
case014.in,1,v6_safe_baseline,51914.0,645276.0,3017.0,0.036778,equal,1,1,1,0,1,1,1,0,0,0,0,0
case015.in,1,v6_safe_baseline,0.0,360252.0,2677.0,0.069159,equal,0,1,1,0,0,1,1,0,0,0,0,0
case016.in,1,v6_safe_baseline,47998.0,1085770.0,3247.0,0.047501,equal,1,1,1,0,1,1,1,0,0,0,0,0
case017.in,1,v6_safe_baseline,0.0,191362.0,2579.0,0.072582,equal,1,1,1,0,1,1,1,0,0,0,0,0
case018.in,1,memory_window_repack,68071.0,1144600.0,3184.0,0.051978,improved,1,1,1,0,1,1,1,0,0,1,0,0
case019.in,1,v6_safe_baseline,0.0,359857.0,2677.0,0.102849,equal,1,1,1,0,1,1,1,0,0,0,0,0
case020.in,1,v6_safe_baseline,74755.0,743751.0,3070.0,0.063371,equal,1,1,1,0,1,1,1,0,0,0,0,0
case021.in,1,memory_window_repack,190.0,1199010.0,12438.0,0.071427,improved,1,1,1,0,1,1,1,0,0,1,0,0
case022.in,1,v6_safe_baseline,22421.0,727574.0,10569.0,0.052472,equal,0,1,1,0,0,1,1,0,0,0,0,0
case023.in,1,v6_safe_baseline,0.0,476776.0,12258.0,0.055646,equal,1,1,1,0,1,1,1,0,0,0,0,0
case024.in,1,memory_window_repack,492.0,1494340.0,12459.0,0.100519,improved,0,1,1,0,0,1,1,0,0,1,0,0
case025.in,1,fgd_tetris_rematch,53955.0,1181750.0,10775.0,0.058993,improved,0,1,1,0,0,1,1,0,0,0,1,0
case026.in,1,v6_safe_baseline,0.0,913799.0,12346.0,0.089577,equal,0,1,1,0,0,1,1,0,0,0,0,0
case027.in,1,v6_safe_baseline,0.0,1233710.0,12377.0,0.094719,equal,0,1,1,0,0,1,1,0,0,0,0,0
case028.in,1,v6_safe_baseline,100504.0,1909290.0,10776.0,0.125060,equal,0,1,1,0,0,1,1,0,0,0,0,0
case029.in,1,memory_window_repack,0.0,1134060.0,12438.0,0.161059,improved,0,1,1,0,0,1,1,0,0,1,0,0
case030.in,1,memory_window_repack,0.0,2593010.0,12400.0,0.182334,improved,1,1,1,0,1,1,1,0,0,1,0,0
case031.in,1,v6_safe_baseline,107562.0,3698540.0,10934.0,0.157273,equal,0,1,1,0,0,1,1,0,0,0,0,0
case032.in,1,memory_window_repack,0.0,1820690.0,12088.0,0.170023,improved,1,1,1,0,1,1,1,0,0,1,0,0
case033.in,1,memory_window_repack,0.0,1906780.0,12464.0,0.138215,improved,1,1,1,0,1,1,1,0,0,1,0,0
case034.in,1,v6_safe_baseline,438746.0,5396660.0,11316.0,0.367487,equal,0,1,1,0,0,1,1,0,0,0,0,0
case035.in,1,memory_window_repack,0.0,1910400.0,12518.0,0.245084,improved,1,1,1,0,1,1,1,0,0,1,0,0
case036.in,1,memory_window_repack,2165.0,4153430.0,12392.0,0.218566,improved,0,1,1,1,0,1,1,3,0,1,0,0
case037.in,1,v6_safe_baseline,195477.0,4637280.0,10839.0,0.390394,equal,0,1,1,0,0,1,1,0,0,0,0,0
case038.in,1,memory_window_repack,0.0,2411480.0,12491.0,0.357015,improved,0,1,1,0,0,1,1,0,0,1,0,0
case039.in,1,memory_window_repack,0.0,3382170.0,12472.0,0.376116,improved,1,1,1,0,1,1,1,0,0,1,0,0
case040.in,1,v6_safe_baseline,559937.0,6090450.0,10995.0,0.524331,equal,0,1,1,0,0,1,1,0,0,0,0,0
case041.in,1,v6_safe_baseline,0.0,2128770.0,12483.0,0.241045,equal,1,1,1,0,1,1,1,0,0,0,0,0
case042.in,1,v6_safe_baseline,0.0,2770100.0,12512.0,0.249880,equal,0,1,1,0,0,1,1,0,0,0,0,0
case043.in,1,v6_safe_baseline,487561.0,7068940.0,10962.0,0.608210,equal,0,1,1,0,0,1,1,0,0,0,0,0
case044.in,1,v6_safe_baseline,0.0,2776710.0,12494.0,0.393056,equal,0,1,1,0,0,1,1,0,0,0,0,0
case045.in,1,v6_safe_baseline,0.0,4547000.0,12517.0,0.387135,equal,1,1,1,0,1,1,1,0,0,0,0,0
case046.in,1,v6_safe_baseline,933416.0,8803470.0,11416.0,0.838739,equal,1,1,1,0,1,1,1,0,0,0,0,0
case047.in,1,v6_safe_baseline,0.0,2139800.0,12477.0,0.329917,equal,1,1,1,0,1,1,1,0,0,0,0,0
case048.in,1,memory_window_repack,0.0,4112580.0,12389.0,0.425735,improved,1,1,1,0,1,1,1,0,0,1,0,0
case049.in,1,v6_safe_baseline,1016920.0,10770400.0,11554.0,0.924353,equal,1,1,1,0,1,1,1,0,0,0,0,0
case050.in,1,v6_safe_baseline,0.0,2331870.0,12414.0,0.330328,equal,1,1,1,0,1,1,1,0,0,0,0,0
case051.in,1,memory_window_repack,0.0,3637090.0,12582.0,0.457073,improved,1,1,1,0,1,1,1,0,0,1,0,0
case052.in,1,v6_safe_baseline,816117.0,7870180.0,11436.0,0.773397,equal,1,1,1,0,1,1,1,0,0,0,0,0
case053.in,1,memory_window_repack,0.0,3196160.0,12472.0,0.447900,improved,1,1,1,0,1,1,1,0,0,1,0,0
case054.in,1,v6_safe_baseline,0.0,3167310.0,12635.0,0.421690,equal,1,1,1,0,1,1,1,0,0,0,0,0
case055.in,1,v6_safe_baseline,1476130.0,9835230.0,11637.0,0.921833,equal,1,1,1,0,1,1,1,0,0,0,0,0
case056.in,1,memory_window_repack,0.0,3233000.0,12452.0,0.490601,improved,0,1,1,0,0,1,1,0,0,1,0,0
case057.in,1,v6_safe_baseline,0.0,5259490.0,12561.0,0.593982,equal,0,1,1,0,0,1,1,0,0,0,0,0
case058.in,1,v6_safe_baseline,726123.0,10886400.0,11226.0,0.920712,equal,0,1,1,0,0,1,1,0,0,0,0,0
case059.in,1,v6_safe_baseline,0.0,3477820.0,12512.0,0.477908,equal,0,1,1,0,0,1,1,0,0,0,0,0
case060.in,1,v6_safe_baseline,0.0,4411370.0,12459.0,0.566048,equal,0,1,1,0,0,1,1,0,0,0,0,0
case061.in,1,v6_safe_baseline,9368310.0,8395960.0,9845.0,2.752433,equal,1,1,1,0,1,1,1,0,0,0,0,0
case062.in,1,v6_safe_baseline,1372940.0,22451600.0,17913.0,1.894283,equal,0,1,1,0,0,1,1,0,0,0,0,0
case063.in,1,v6_safe_baseline,42186.0,7251430.0,15640.0,0.554773,equal,0,1,1,0,0,1,1,0,0,0,0,0
case064.in,1,v6_safe_baseline,0.0,6539980.0,20472.0,0.628734,equal,0,1,1,0,0,1,1,0,0,0,0,0
case065.in,1,v6_safe_baseline,13942800.0,10014000.0,10553.0,6.607370,equal,1,1,1,0,1,1,1,0,0,0,0,0
case066.in,1,memory_window_repack,1506500.0,15198300.0,17722.0,1.769654,improved,0,1,1,0,0,1,1,0,0,1,0,0
case067.in,1,v6_safe_baseline,337198.0,20439000.0,15807.0,1.285279,equal,0,1,1,0,0,1,1,0,0,0,0,0
case068.in,1,v6_safe_baseline,0.0,6306620.0,20443.0,0.812321,equal,0,1,1,0,0,1,1,0,0,0,0,0
case069.in,1,v6_safe_baseline,33781500.0,14473800.0,13463.0,10.682436,equal,1,1,1,0,1,1,1,0,0,0,0,0
case070.in,1,v6_safe_baseline,6195330.0,28831900.0,19030.0,4.298313,equal,0,1,1,0,0,1,1,0,0,0,0,0
case071.in,1,v6_safe_baseline,791384.0,20538300.0,15904.0,1.459141,equal,0,1,1,0,0,1,1,0,0,0,0,0
case072.in,1,v6_safe_baseline,0.0,7937010.0,20501.0,1.835997,equal,0,1,1,0,0,1,1,0,0,0,0,0
case073.in,1,v6_safe_baseline,73647700.0,20046100.0,15435.0,25.303818,equal,0,1,1,0,0,1,1,0,0,0,0,0
case074.in,1,v6_safe_baseline,6973600.0,27940100.0,18832.0,5.022074,equal,0,1,1,0,0,1,1,0,0,0,0,0
case075.in,1,v6_safe_baseline,1065480.0,29144600.0,15929.0,2.838501,equal,0,1,1,0,0,1,1,0,0,0,0,0
case076.in,1,v6_safe_baseline,0.0,11918000.0,20525.0,2.063468,equal,0,1,1,0,0,1,1,0,0,0,0,0
case077.in,1,v6_safe_baseline,120065000.0,23341700.0,19108.0,45.992348,improved,0,1,1,0,0,1,1,0,0,0,0,0
case078.in,1,v6_safe_baseline,11688600.0,41180200.0,18647.0,9.720903,equal,0,1,1,0,0,1,1,0,0,0,0,0
case079.in,1,v6_safe_baseline,1041880.0,32407300.0,16129.0,2.658863,equal,0,1,1,0,0,1,1,0,0,0,0,0
case080.in,1,v6_safe_baseline,0.0,17449200.0,20534.0,2.883218,equal,0,1,1,0,0,1,1,0,0,0,0,0
case081.in,1,v6_safe_baseline,155191000.0,35426300.0,21990.0,25.813227,equal,0,1,1,0,0,1,1,0,0,0,0,0
case082.in,1,v6_safe_baseline,11170000.0,37741600.0,19243.0,8.064010,equal,0,1,1,0,0,1,1,0,0,0,0,0
case083.in,1,v6_safe_baseline,3459790.0,43494400.0,16295.0,4.245996,equal,0,1,1,0,0,1,1,0,0,0,0,0
case084.in,1,v6_safe_baseline,0.0,19946200.0,20430.0,4.208999,equal,0,1,1,0,0,1,1,0,0,0,0,0
case085.in,1,v6_safe_baseline,171064000.0,32235700.0,21251.0,29.863380,equal,0,1,1,0,0,1,1,0,0,0,0,0
case086.in,1,v6_safe_baseline,16415300.0,54554800.0,18864.0,13.364177,equal,0,1,1,0,0,1,1,0,0,0,0,0
case087.in,1,v6_safe_baseline,2474570.0,41076200.0,16008.0,4.225312,equal,0,1,1,0,0,1,1,0,0,0,0,0
case088.in,1,v6_safe_baseline,0.0,20021100.0,20489.0,4.847283,equal,0,1,1,0,0,1,1,0,0,0,0,0
case089.in,1,v6_safe_baseline,233739000.0,35989400.0,22146.0,50.335065,equal,0,1,1,0,0,1,1,0,0,0,0,0
case090.in,1,v6_safe_baseline,20289400.0,53803300.0,19349.0,17.171218,equal,0,1,1,0,0,1,1,0,0,0,0,0
case091.in,1,v6_safe_baseline,284814000.0,52770100.0,73774.0,7.861059,equal,0,1,0,0,0,1,0,0,0,0,0,0
case092.in,1,v6_safe_baseline,239276000.0,43736300.0,70605.0,5.766076,equal,0,1,0,0,0,1,0,0,0,0,0,0
case093.in,1,v6_safe_baseline,248697000.0,56408900.0,63709.0,8.930893,equal,0,1,0,0,0,1,0,0,0,0,0,0
case094.in,1,v6_safe_baseline,588240000.0,81417700.0,89170.0,19.757156,equal,0,1,0,0,0,1,0,0,0,0,0,0
case095.in,1,v6_safe_baseline,1187620000.0,115186000.0,121771.0,34.753575,equal,0,1,0,0,0,1,0,0,0,0,0,0
case096.in,1,v6_safe_baseline,1410000000.0,113093000.0,147840.0,33.078796,equal,0,1,1,0,0,1,1,0,0,0,0,0
case097.in,1,v6_safe_baseline,950867000.0,122629000.0,94815.0,16.570239,equal,0,1,0,0,0,1,0,0,0,0,0,0
case098.in,1,v6_safe_baseline,1746430000.0,139477000.0,146197.0,18.318609,equal,0,1,0,0,0,1,0,0,0,0,0,0
case099.in,1,v6_safe_baseline,2203470000.0,177977000.0,150882.0,28.619109,equal,0,1,0,0,0,1,0,0,0,0,0,0
case100.in,1,v6_safe_baseline,3038840000.0,193401000.0,191414.0,37.306840,equal,0,1,1,0,0,1,1,0,0,0,0,0
